,AMR,Capacity,HM,PLC,Site
642,33122,40.0,05:24:48,CC-C8-1E,PNB_TVL_OHSR_01
646,33122,40.0,05:26:56,CC-C8-1E,PNB_TVL_OHSR_01
646,33122,40.0,05:26:56,CC-C8-1E,PNB_TVL_OHSR_01
648,33122,40.0,05:28:00,CC-C8-1E,PNB_TVL_OHSR_01
648,33122,40.0,05:28:00,CC-C8-1E,PNB_TVL_OHSR_01
652,33122,40.0,05:30:03,CC-C8-1E,PNB_TVL_OHSR_01
652,33122,40.0,05:30:03,CC-C8-1E,PNB_TVL_OHSR_01
656,33122,40.0,05:32:05,CC-C8-1E,PNB_TVL_OHSR_01
656,33122,40.0,05:32:05,CC-C8-1E,PNB_TVL_OHSR_01
660,33122,40.0,05:34:07,CC-C8-1E,PNB_TVL_OHSR_01
660,33122,40.0,05:34:07,CC-C8-1E,PNB_TVL_OHSR_01
665,33122,40.0,05:36:09,CC-C8-1E,PNB_TVL_OHSR_01
665,33122,40.0,05:36:09,CC-C8-1E,PNB_TVL_OHSR_01
669,33122,40.0,05:38:11,CC-C8-1E,PNB_TVL_OHSR_01
669,33122,40.0,05:38:11,CC-C8-1E,PNB_TVL_OHSR_01
673,33122,40.0,05:40:13,CC-C8-1E,PNB_TVL_OHSR_01
673,33122,40.0,05:40:13,CC-C8-1E,PNB_TVL_OHSR_01
676,33122,40.0,05:42:06,CC-C8-1E,PNB_TVL_OHSR_01
676,33122,40.0,05:42:06,CC-C8-1E,PNB_TVL_OHSR_01
680,33122,40.0,05:44:14,CC-C8-1E,PNB_TVL_OHSR_01
680,33122,40.0,05:44:14,CC-C8-1E,PNB_TVL_OHSR_01
684,33122,40.0,05:46:19,CC-C8-1E,PNB_TVL_OHSR_01
684,33122,40.0,05:46:19,CC-C8-1E,PNB_TVL_OHSR_01
689,33122,40.0,05:48:21,CC-C8-1E,PNB_TVL_OHSR_01
689,33122,40.0,05:48:21,CC-C8-1E,PNB_TVL_OHSR_01
693,33122,40.0,05:50:23,CC-C8-1E,PNB_TVL_OHSR_01
693,33122,40.0,05:50:23,CC-C8-1E,PNB_TVL_OHSR_01
697,33122,40.0,05:52:25,CC-C8-1E,PNB_TVL_OHSR_01
697,33122,40.0,05:52:25,CC-C8-1E,PNB_TVL_OHSR_01
700,33122,40.0,05:54:07,CC-C8-1E,PNB_TVL_OHSR_01
700,33122,40.0,05:54:07,CC-C8-1E,PNB_TVL_OHSR_01
704,33122,40.0,05:56:15,CC-C8-1E,PNB_TVL_OHSR_01
